,canton
Université de Neuchâtel,NE
Université de Genève,GE
Inst. de Hautes Etudes Internat. et du Dév,GE
SUP della Svizzera italiana,TI
Centre de rech. sur l'environnement alpin,VS
Schweiz. Institut für Kunstwissenschaft,ZH
Schweizer Kompetenzzentrum Sozialwissensch.,
Allergie- und Asthmaforschung,GR
Pädagogische Hochschule Bern,BE
Weitere Institute,
Forschungsanstalten Agroscope,
Idiap Research Institute,VS
Inst. Suisse de Spéléologie et Karstologie,NE
Pädagogische Hochschule Wallis,VS
Haute école pédagogique du canton de Vaud,VD
Schweiz. Hochschule für Logopädie Rorschach,SG
"Haute école pédagogique BE, JU, NE",
Swiss Institute of Bioinformatics,
Franklin University Switzerland,TI
Zürcher Fachhochschule (ohne PH),ZH
Universität Basel,BS
Institut für Kulturforschung Graubünden,GR
Fachhochschule Ostschweiz,SG
Firmen/Privatwirtschaft,
Haute école pédagogique fribourgeoise,FR
Institut Universitaire Kurt Bösch,VS
Biotechnologie Institut Thurgau,TG
ETH Zürich,ZH
HES de Suisse occidentale,JU
Forschungsinstitut für Opthalmologie,
Interkant. Hochschule für Heilpädagogik ZH,ZH
Pädagogische Hochschule Schwyz,SZ
"Eidg. Forschungsanstalt für Wald,Schnee,Land",
Istituto Svizzero di Roma,
Pädag. Hochschule Tessin (Teilschule SUPSI),
Pädagogische Hochschule Nordwestschweiz,
Eidg. Anstalt für Wasserversorgung,ZH
Hochschule Luzern,LU
Schweizer Paraplegiker Forschung,LU
Physikal.-Meteorolog. Observatorium Davos,
Instituto Ricerche Solari Locarno,
EPF Lausanne,VD
Kantonsspital St. Gallen,SG
Pädagogische Hochschule Graubünden,GR
Paul Scherrer Institut,AG
Pädagogische Hochschule Thurgau,TG
Pädagogische Hochschule Schaffhausen,SH
Friedrich Miescher Institute,BS
Eidg. Hochschulinstitut für Berufsbildung,BE
Forschungsinstitut für biologischen Landbau,AG
Universität Bern,BE
Robert Walser-Stiftung Bern,BE
AO Research Institute,GR
Facoltà di Teologia di Lugano,TI
Pädagogische Hochschule Zug,ZG
Staatsunabh. Theologische Hochschule Basel,
Pädagogische Hochschule St. Gallen,SG
Inst. universit. romand de Santé au Travail,VD
Berner Fachhochschule,BE
Université de Lausanne,VD
Fachhochschule Nordwestschweiz (ohne PH),
Universität St. Gallen,SG
Universität Luzern,LU
Fachhochschule Kalaidos,ZH
Forschungskommission SAGW,
Fernfachhochschule Schweiz (Mitglied SUPSI),VS
"NPO (Biblioth., Museen, Verwalt.)",
Université de Fribourg,FR
Pädagogische Hochschule Luzern,LU
Universität Zürich,ZH
Swiss Center for Electronics and Microtech.,
Eidg. Material und Prüfungsanstalt,
Ente Ospedaliero Cantonale,TI
Pädagogische Hochschule Zürich,ZH
Weitere Spitäler,
Università della Svizzera italiana,TI
