university,amount,university_name,abbrev,canton
AO Research Institute - AORI,3435621.0,AO Research Institute,AORI,GR
Allergie- und Asthmaforschung - SIAF,19169965.0,Allergie- und Asthmaforschung,SIAF,GR
Berner Fachhochschule - BFH,31028695.0,Berner Fachhochschule,BFH,BE
Biotechnologie Institut Thurgau - BITG,2492535.0,Biotechnologie Institut Thurgau,BITG,TG
Centre de rech. sur l'environnement alpin - CREALP,1567678.0,Centre de rech. sur l'environnement alpin,CREALP,VS
EPF Lausanne - EPFL,1175315913.92,EPF Lausanne,EPFL,VD
ETH Zürich - ETHZ,1635596618.2500002,ETH Zürich,ETHZ,ZH
Eidg. Anstalt für Wasserversorgung - EAWAG,74619222.37,Eidg. Anstalt für Wasserversorgung,EAWAG,ZH
"Eidg. Forschungsanstalt für Wald,Schnee,Land - WSL",48360389.629999995,"Eidg. Forschungsanstalt für Wald,Schnee,Land",WSL,ZH
Eidg. Hochschulinstitut für Berufsbildung - EHB,2086572.0,Eidg. Hochschulinstitut für Berufsbildung,EHB,BE
Eidg. Material und Prüfungsanstalt - EMPA,58574515.92,Eidg. Material und Prüfungsanstalt,EMPA,
Ente Ospedaliero Cantonale - EOC,5067172.0,Ente Ospedaliero Cantonale,EOC,TI
Fachhochschule Kalaidos - FHKD,1090280.0,Fachhochschule Kalaidos,FHKD,ZH
Fachhochschule Nordwestschweiz (ohne PH) - FHNW,42771914.120000005,Fachhochschule Nordwestschweiz (ohne PH),FHNW,SO
Fachhochschule Ostschweiz - FHO,4437056.0,Fachhochschule Ostschweiz,FHO,SG
Facoltà di Teologia di Lugano - FTL,8000.0,Facoltà di Teologia di Lugano,FTL,TI
Fernfachhochschule Schweiz (Mitglied SUPSI) - FFHS,12000.0,Fernfachhochschule Schweiz (Mitglied SUPSI),FFHS,VS
Firmen/Privatwirtschaft - FP,111686719.9,Firmen/Privatwirtschaft,FP,
Forschungsanstalten Agroscope - AGS,33115719.0,Forschungsanstalten Agroscope,AGS,
Forschungsinstitut für Opthalmologie - IRO,3478469.0,Forschungsinstitut für Opthalmologie,IRO,VS
Forschungsinstitut für biologischen Landbau - FIBL,7442410.0,Forschungsinstitut für biologischen Landbau,FIBL,AG
Forschungskommission SAGW,100000.0,Forschungskommission SAGW,,
Franklin University Switzerland - FUS,65956.0,Franklin University Switzerland,FUS,TI
Friedrich Miescher Institute - FMI,40229142.61,Friedrich Miescher Institute,FMI,BS
HES de Suisse occidentale - HES-SO,34162965.46,HES de Suisse occidentale,HES-SO,JU
"Haute école pédagogique BE, JU, NE - HEPBEJUNE",627380.0,"Haute école pédagogique BE, JU, NE",HEPBEJUNE,JU
Haute école pédagogique du canton de Vaud - HEPL,1430686.0,Haute école pédagogique du canton de Vaud,HEPL,VD
Haute école pédagogique fribourgeoise - HEPFR,1547498.0,Haute école pédagogique fribourgeoise,HEPFR,FR
Hochschule Luzern - HSLU,10768116.36,Hochschule Luzern,HSLU,LU
Idiap Research Institute - IDIAP,22183105.2,Idiap Research Institute,IDIAP,VS
