playerShort,,playerShort,player,club,leagueCountry,birthday,height,weight,position,games,victories,ties,defeats,goals,yellowCards,yellowReds,redCards,refCount,refCountryCount,meanIAT,seIAT,meanExp,seExp,color_rating,meanIAT_nIAT,meanExp_nExp,meanIAT_GameNbr,meanExp_GameNbr,meanIAT_cards,meanExp_cards
aaron-hughes,5,aaron-hughes,Aaron Hughes,Fulham FC,England,08.11.1979,182.0,71.0,Center Back,654,247,179,228,9,19,0,0,166,37,0.34645913229080155,0.0015053594419506726,0.49457483782317285,0.009691206713370882,1,0.3284091869309765,0.36772094478700945,0.3331945500494067,0.40063725056880267,0.0,0.0
aaron-hunt,745,aaron-hunt,Aaron Hunt,Werder Bremen,Germany,04.09.1986,183.0,73.0,Attacking Midfielder,336,141,73,122,62,42,0,1,99,25,0.34881834790125466,0.0008343832634820525,0.44922021689199154,0.0038228355101070453,2,0.32994514237852607,0.44161542739251,0.34143762887383644,0.38081121339638296,0.0,0.0
aaron-lennon,746,aaron-lennon,Aaron Lennon,Tottenham Hotspur,England,16.04.1987,165.0,63.0,Right Midfielder,412,200,97,115,31,11,0,0,101,28,0.34589293093477363,0.0011132724110975197,0.49148178895621647,0.006349578862840233,2,0.32822952720197984,0.36562764206431275,0.33238947574440825,0.3994589585924205,0.0,0.0
aaron-ramsey,747,aaron-ramsey,Aaron Ramsey,Arsenal FC,England,26.12.1990,178.0,76.0,Center Midfielder,260,150,42,68,39,31,0,1,104,37,0.3468212962922435,0.003786353417605508,0.5146933609545438,0.015240275972274599,1,0.3277748850113474,0.41285871913912703,0.33663809067463957,0.43329399150303044,0.0,0.0
abdelhamid-el-kaoutari,4418,abdelhamid-el-kaoutari,Abdelhamid El-Kaoutari,Montpellier HSC,France,17.03.1990,180.0,73.0,Center Back,124,41,40,43,1,8,4,2,37,11,0.33159954474135706,0.00047379230760405963,0.33558723401949186,0.001745339931848316,2,0.33884747483543814,0.3794971269626322,0.33188222279136326,0.32889474959584164,0.0,0.0
abdou-traore_2,2305,abdou-traore_2,Abdou Traoré,Girondins Bordeaux,France,17.01.1988,180.0,74.0,Right Midfielder,97,41,23,33,3,11,1,0,42,13,0.32007881965619894,0.0008894975598101949,0.2965622807696765,0.0026593293564255906,4,0.33211692073006394,0.36603076243227073,0.3279852513339887,0.31724719844728694,0.0,0.0
abdoulaye-diallo_2,47,abdoulaye-diallo_2,Abdoulaye Diallo,Stade Rennes,France,30.03.1992,189.0,80.0,Goalkeeper,24,8,8,8,0,0,0,0,20,5,0.34162499313708594,0.00018603060637635305,0.40081849834653027,0.0007742975293271908,4,0.3375720497391883,0.36139366515837096,0.3435561047003178,0.42827050618268153,0.0,0.0
abdoulaye-keita_2,4423,abdoulaye-keita_2,Abdoulaye Keita,Girondins Bordeaux,France,19.08.1990,188.0,83.0,Goalkeeper,3,0,1,2,0,0,0,0,2,2,0.35540553213656745,0.0002493907490492387,0.41722539905933453,0.0010287314256383717,4,0.34156712456642224,0.36328448990876405,0.348498320039164,0.3901839204179467,0.0,0.0
abdoulwhaid-sissoko,4424,abdoulwhaid-sissoko,Abdoulwhaid Sissoko,Stade Brest,France,20.03.1990,180.0,68.0,Defensive Midfielder,121,34,25,62,3,21,0,2,56,3,0.34817825822102294,0.0001626825217152802,0.429630272215213,0.0006735942641718428,5,0.34442618568063293,0.40451728412064447,0.34413010224819385,0.40231419570529875,0.0,0.0
abdul-rahman-baba,16617,abdul-rahman-baba,Abdul Rahman Baba,SpVgg Greuther Fürth,Germany,02.07.1994,179.0,70.0,Left Fullback,50,17,8,25,0,3,0,1,27,7,0.3420724539098491,0.00010280775429721478,0.36106849149744147,0.0005525969772651569,4,0.33747797637917304,0.33923150179681044,0.33973277263478513,0.34139538288887145,0.0,0.0
