Id,SubjectBody,Compound_,Neg,Pos,Mean_,Sum_
2,thursday march latest syria aiding qaddafi sid hrc memo syria aiding libya docx hrc memo syria aiding libya docx march hillary,0.0,0.0,0.0,0.0,0.0
5,hrod clintonemail com friday march huma abedin latest syria aiding qaddafi sid hrc memo syria aiding libya docx pis print,0.0,0.0,0.0,0.0,0.0
6,pis print hrod wednesday september russorv state gov meet right wing extremist anti fvluslim film sparked deadly riots meat sent wednesday september subject meet right wing extremist anti muslim film sparked deadly riots htte maxbiumenthal com meet right wing extremist anti musiim tihn sparked deadly riots sent verizon wireless lte droid department state case doc date state dept produced house select benghazi comm subject agreement sensitive information redactions foia waiver state cb meet right wing extremist anti muslim film sparked deadly riots,-0.9531,0.22699999999999998,0.032,-0.23076923076923078,-3.0
7,anti muslim film director hiding following libya egypt violence,-0.8225,0.589,0.0,0.0,0.0
8,hrod clintonemail corn friday march huma abedin latest syria aiding qaddafi sid hrc memo syria aiding libya docx pis print,0.0,0.0,0.0,0.0,0.0
10,wednesday september libya libya sept docx sending direct sent verizon wireless lte druidmore libya,0.0,0.0,0.0,0.0,0.0
11,fyi abz hb libya west bank gaza,0.2023,0.0,0.231,0.0,0.0
12,wednesday september libya libya sept docx sending direct sent verizon wireless lte druid,0.0,0.0,0.0,0.0,0.0
14,anne marie slaughter sunday march jacob mills cheryl reinesp stategov abedin hurtle piece libya nfz appear nyt op ed page tomorrow wanted make sure heads anne marie slaughter professor politics international affairs princeton anne marie slaughter president obama says noose tightening col muammar al qaddafi fact tightening libyan rebels colonel qaddafi makes world dithering steadily retakes rebel held tow ns united states europe temporizing flight zone organization islamic conference gulf cooperation council arab league called united nations security council authorize opponents flight zone forth main arguments closer examination hold gen wesley clark argues libya sell oil united states americans want support democratic movements region iraq afghanistan framing issue terms oil exactly arab populations world expect cynical professions support democracy human rights chance support new beginning muslim world new beginning accountable governments provide services opportunities citizens ways dramatically decrease support terrorist groups violent extremism hard imagine strategic counter productive thoughtful commentators including al jazeera director general wadah khanfar argue important arab spring coming arabs perspective western military intervention play right qaddati hands allowing broadcast pictures western bombs falling arab civilians arguments important weighed appeals libyan opposition fighters asking international help astonishingly support flight zone governments kept populations quiescent holding specter foreign intervention assuming flight zone imposed international coalition includes arab states opportunity establish new narrative western support arab democrats department state case doc date state dept produced house select benghazi comm subject agreement sensitive information redactions foia waiver state scb department state case doc date state dept produced house select benghazi comm subject agreement sensitive information redactions foia waiver work united states ambassador nato ivo daaider argues stopping colonel qaddafi air force decisive continue inflict damage tanks helicopters bombing oil refineries depots way retaking key towns potential effect flight zone assessed terms colonel qaddafi calculations future richard downie center strategic international studies argues colonel qaddafi cultivates mad dictator image canny survivor political manipulator years aware debates regard flight zone timing military campaign accordingly capable using air force gain strategic advantage trigger flight zone international community lines willing crater runways antiaircraft weapons renew offer negotiated departure work know revolutions followed internal divisions revolutionaries expect rosy jeffersonian libya choice uncertainty certainty colonel qaddafi wins regimes region conclude force livay answer protests colonel qaddafi massacres opposition young protesters middle east conclude asked support cause words blinked americans turn read words mr obama june speech cairo lofty promises stand universal human rights cringe let arm rebels instead commentators agree analysis say better accomplish goals providing intelligence arms opposition course easier undoubtedly appeals mn obama neat compromise desire help protesters desire overrule defense secretary reluctance participate flight zone providing arms disciplined military ragged groups brave volunteers barely know use weapons need action change situation ground colonel qaddafi calculations time arms intelligence effect quite likely colonel qaddafi retaken besieged benghazi opposition stronghold united states immediately ask security council authorize flight zone make clear russia china block resolution blood libyan opposition hands push abstain bring issue vote soon possible resolution work arab league quickly assemble international coalition impose flight zone security council fails toact recognize opposition interim national council legitimate libyan government france work arab league council assistance requests department state case doc date state dept produced house select benghazi comm subject agreement sensitive information redactions foia waiver state scb department state case doc date state dept produced house select benghazi comm subject agreement sensitive information redactions foia waiver use force carefully fully debated debate ifs raging week arab country come board calling flight zone colonel qaddafi retaken key cities moving time act department state case doc date state dept produced house select benghazi comm subject agreement sensitive information redactions foia waiver state cb,0.9956,0.10300000000000001,0.188,0.15942028985507245,11.0
15,randolph lawrence sent wednesday september mills cheryl subject dry eye nea including remarks really moving chriswas amazing man huge loss know libya coming years worked calm cool headed funny diplomat really easy hardest places work world dry eye nea,0.9294,0.045,0.332,0.5,4.0
16,asked attend svtc today embassy tripoli met staff went malta tripoli reopening embassy today deaths hit harder guessed proud serve words meaningful today svtc day tenure extraordinary today thank inspirational leadership example harold department state case doc date state dept produced house select benghazi comm subject agreement sensitive information redactions foia waiver state scb,0.9246,0.0,0.22699999999999998,1.0,6.0
17,hope picture kamala sent youth libya,0.4404,0.0,0.36700000000000005,0.0,0.0
20,amazing sullivan jacob sullivanii state gov wednesday september sherman wendy mills cheryl nuland victoria reines philippe youth libya,0.5859,0.0,0.183,1.0,1.0
21,hrod clintonernaii com wednesday september esullivanjj state gov libya libya sept docx asap libya,0.0,0.0,0.0,0.0,0.0
22,pis print hrod clintoriernail corn wednesday september russont state gov libya libya sept dacxfwd libya,0.0,0.0,0.0,0.0,0.0
23,pis print magariaf attack libya sid,-0.4767,0.38299999999999995,0.0,-1.0,-1.0
24,follow flag follow flag status flagged info magariaf attack libya sid,-0.4767,0.237,0.0,-1.0,-1.0
27,libya,0.0,0.0,0.0,0.0,0.0
